"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes",
"AU-ER-002266","Adult-Use Entity Registration - License","Lake State Bud, LLC",,"11/16/2023","Active - Main Prequalified",,
"AU-ER-002230","Adult-Use Entity Registration - License","NMR 2, LLC",,"11/16/2023","Active - Main Prequalified",,
"AU-R-000586","Marihuana Retailer - License","DNVK 1 LLC","919 Marshall ST, Allegan MI 49010","11/16/2022","Active",,
"AU-P-000229","Marihuana Processor - License","BVH LLC","4273 E. HOLLAND RD Suite P, BUENA VISTA MI 48601","11/15/2022","Active",,
"AU-G-C-000566","Class C Marihuana Grower - License","50504 28th Ave, Inc.","50405 28th AVE, Bangor MI 49013","11/12/2022","Active",,
"AU-G-C-000565","Class C Marihuana Grower - License","50504 28th Ave, Inc","50405 28th AVE, Bangor MI 49013","11/12/2022","Active",,
"AU-G-C-000564","Class C Marihuana Grower - License","50504 28th Ave. Inc.","50405 28th AVE, Bangor MI 49013","11/12/2022","Active",,
"AU-G-C-000563","Class C Marihuana Grower - License","50504 28th Ave, Inc.","50405 28th AVE, Bangor MI 49013","11/12/2022","Active",,
"AU-G-C-000562","Class C Marihuana Grower - License","50504 28th Ave, Inc.","50405 28th AVE, Bangor MI 49013","11/12/2022","Active",,
"AU-ER-002296","Adult-Use Entity Registration - License","Apollo Organics Inc.",,"12/31/2099","Active - Main Prequalified",,
"AU-ER-002307","Adult-Use Entity Registration - License","Humble Roots, LLC",,"12/31/2099","Active - Main Prequalified",,
"AU-G-C-000637","Class C Marihuana Grower - License","Total Health Cultivation, LLC","3055 East Bristol RD, Burton MI 48529","05/06/2022","Active",,
"AU-R-000591","Marihuana Retailer - License","THE RELEAF CENTER OF BUENA VISTA","3054 EAST HOLLAND RD, BUENA VISTA MI 48601","11/12/2022","Active",,
"AU-G-C-000641","Class C Marihuana Grower - License","Area Capital LLC","2 Johnson CT, Bay City MI 48708","11/12/2022","Active",,
"AU-G-C-000642","Class C Marihuana Grower - License","Area Capital LLC","2 Johnson CT, Bay City MI 48708","11/10/2022","Active",,
"AU-R-000584","Marihuana Retailer - License","PURE NB","51543 Industrial DR, New Baltimore MI 48047","11/10/2022","Active","Home Delivery - Approved",
"AU-ER-002165","Adult-Use Entity Registration - License","Joan Ventures LLC",,"11/10/2023","Active - Main Prequalified",,
"AU-G-C-000603","Class C Marihuana Grower - License","42469 Irwin LLC","42469 Irwin DR, Harrison TWP MI 48045","11/10/2022","Active",,
"AU-R-000592","Marihuana Retailer - License","Lume Cannabis Co.","907 E. Broomfield ST, Mt. Pleasant MI 48858","11/27/2022","Active","Home Delivery - Approved",
"AU-G-C-000624","Class C Marihuana Grower - License","OBJECTIV Growth Michigan LLC","775 E. Washington AVE, Jackson MI 49203","09/23/2022","Active",,
"AU-G-C-000623","Class C Marihuana Grower - License","OBJECTIV Growth Michigan LLC","775 E. Washington AVE, Jackson MI 49203","09/23/2022","Active",,
"AU-G-C-000622","Class C Marihuana Grower - License","OBJECTIV Growth Michigan LLC","775 E. Washington AVE, Jackson MI 49203","09/23/2022","Active",,
"AU-ER-002300","Adult-Use Entity Registration - License","Cesar Farms LLC",,"11/09/2023","Active - Main Prequalified",,
"AU-R-000582","Marihuana Retailer - License","Iconic Wellness & Provisioning Center","810 Broadus ST, Sturgis MI 49091","11/08/2022","Active",,
"AU-R-000574","Marihuana Retailer - License","The Grassy Knoll","2125 Lemuel ST, Muskegon MI 49444","11/08/2022","Active",,
"AU-R-000575","Marihuana Retailer - License","CHO","75 N. Bridge ST, Saranac MI 48881","11/08/2022","Active",,
"AU-R-000545","Marihuana Retailer - License","GREEN LIGHT DISTRICT. THETFORD","9030 north saginaw RD Suite 5, MOUNT MORRIS MI 48458","11/08/2022","Active",,
"AU-R-000593","Marihuana Retailer - License","Heritage Provisioning","1864 US-23, East Tawas MI 48730","11/17/2022","Active","Home Delivery - Approved",
"AU-ER-002226","Adult-Use Entity Registration - License","MBWII Inc",,"11/05/2023","Active - Main Prequalified",,
"AU-ER-002248","Adult-Use Entity Registration - License","Altmira LLC",,"11/05/2023","Active - Main Prequalified",,
"AU-ER-002353","Adult-Use Entity Registration - License","MLHC Enterprises LLC",,"11/05/2023","Active - Main Prequalified",,
"AU-ER-002351","Adult-Use Entity Registration - License","Essential Roots LLC",,"11/05/2023","Active - Main Prequalified",,
"AU-ER-002137","Adult-Use Entity Registration - License","Lotus Eaters LLC",,"11/04/2023","Active - Main Prequalified",,
"AU-R-000587","Marihuana Retailer - License","STIIIZY","642 E. 9 Mile RD, Ferndale MI 48220","11/03/2022","Active",,
"AU-ER-002238","Adult-Use Entity Registration - License","Spartan MB LLC",,"11/03/2023","Active - Main Prequalified",,
"AU-G-B-000172","Class B Marihuana Grower - License","Bow's on Deck","9222 North Dort HWY, Mt. Morris MI 48458","11/03/2022","Active",,
"AU-G-C-000628","Class C Marihuana Grower - License","Green Mitten Harvest LLC","9384 N. Saginaw RD, Mt. Morris MI 48458","09/23/2022","Active",,
"AU-ER-002119","Adult-Use Entity Registration - License","Five Lakes Made LLC",,"11/03/2023","Active - Main Prequalified",,
"AU-ER-002350","Adult-Use Entity Registration - License","Funky Flora, LLC",,"11/03/2023","Active - Main Prequalified",,
"AU-G-C-000590","Class C Marihuana Grower - License","Endo","329 Logan ST, Adrian MI 49221","11/03/2022","Active",,
"AU-P-000224","Marihuana Processor - License","PACKWOODS DISTRIBUTION","2001 E. 10 Mile RD, Warren MI 48091","11/03/2022","Active",,
"AU-ER-001612","Adult-Use Entity Registration - License","MAP Cannabis Company, LLC",,"11/02/2023","Active - Main Prequalified",,
"AU-ER-002289","Adult-Use Entity Registration - License","Platinum Flavorz, LLC",,"11/02/2023","Active - Main Prequalified",,
"AU-ER-002250","Adult-Use Entity Registration - License","My Peaceable Kingdom LLC",,"12/31/2099","Active - Main Prequalified",,
"AU-ER-002294","Adult-Use Entity Registration - License","Hazel Park Growth LLC",,"11/02/2023","Active - Main Prequalified",,
"AU-ER-002354","Adult-Use Entity Registration - License","GLED Enterprises LLC",,"11/02/2023","Active - Main Prequalified",,
"AU-G-C-000613","Class C Marihuana Grower - License","Goldkine","14401 Frazho RD, Warren MI 48089","09/27/2022","Active",,
"AU-R-000552","Marihuana Retailer - License","FIRST CLASS CANNABIS CO.","107 N Main Street, Camden MI 49232","11/02/2022","Active",,
"AU-ER-002352","Adult-Use Entity Registration - License","CSED Enterprises, LLC",,"11/02/2023","Active - Main Prequalified",,
"AU-ER-002309","Adult-Use Entity Registration - License","LANSING PROS INC.",,"11/02/2023","Active - Main Prequalified",,
"AU-ER-002243","Adult-Use Entity Registration - License","BUD LLC",,"11/02/2023","Active - Main Prequalified",,
"AU-G-C-000612","Class C Marihuana Grower - License","Goldkine","14401 Frazho RD, Warren MI 48089","09/27/2022","Active",,
"AU-R-000556","Marihuana Retailer - License","KKind Kalamazoo","521 E. Mosel AVE Suite A, Kalamazoo MI 49004","05/05/2023","Active",,
"AU-ER-002301","Adult-Use Entity Registration - License","Kaif Industries, LLC",,"10/29/2023","Active - Main Prequalified",,
"AU-ER-002120","Adult-Use Entity Registration - License","Kevin Michigan, LLC",,"10/29/2023","Active - Main Prequalified",,
"AU-ER-002311","Adult-Use Entity Registration - License","JTH 007X LLC",,"10/29/2023","Active - Main Prequalified",,
"AU-ER-002267","Adult-Use Entity Registration - License","Ofelia LLC",,"10/29/2023","Active - Main Prequalified",,
"AU-ER-002302","Adult-Use Entity Registration - License","HomeGrower (DMi), Inc.",,"10/29/2023","Active - Main Prequalified",,
"AU-G-B-000171","Class B Marihuana Grower - License","CannaSelect","20349 Waldo Rd, Chelsea MI 48118","10/29/2022","Active",,
"AU-ER-002019","Adult-Use Entity Registration - License","Organic Leaf, LLC",,"10/29/2023","Active - Main Prequalified",,
"AU-ER-002295","Adult-Use Entity Registration - License","Taz Ventures LLC",,"10/29/2023","Active - Main Prequalified",,
"AU-ER-002163","Adult-Use Entity Registration - License","Trap Treats LLC",,"10/29/2023","Active - Main Prequalified",,
"AU-R-000572","Marihuana Retailer - License","Dunegrass Co.","7803 Crystal DR, Beulah MI 49617","08/14/2022","Active","Home Delivery - Approved",
"AU-ER-002297","Adult-Use Entity Registration - License","Fresh Coast Cannabis Group, LLC",,"10/28/2023","Active - Main Prequalified",,
"AU-ER-002355","Adult-Use Entity Registration - License","EDSC Enterprises LLC",,"10/28/2023","Active - Main Prequalified",,
"AU-ER-002233","Adult-Use Entity Registration - License","DMSC Enterprises, LLC",,"10/28/2023","Active - Main Prequalified",,
"AU-ER-002240","Adult-Use Entity Registration - License","Pond Manufacturing, LLC",,"10/28/2023","Active - Main Prequalified",,
"AU-ER-002308","Adult-Use Entity Registration - License","GROESBECK PROS INC.",,"12/31/2099","Active - Main Prequalified",,
"AU-ER-002123","Adult-Use Entity Registration - License","Greenshift LLC",,"12/31/2099","Active - Main Prequalified",,
"AU-SP-000216","Sole Proprietor Registration - License","Charles Dixon",,"10/28/2023","Active - Main Prequalified",,
"AU-P-000206","Marihuana Processor - License","Weinberg Family Enterprises LLC","1230 Mason CT, Webberville MI 48892","07/15/2022","Active",,
"AU-ER-001858","Adult-Use Entity Registration - License","Five Point Farms, LLC",,"10/27/2023","Active - Main Prequalified",,
"AU-P-000214","Marihuana Processor - License","High-Minded Creations","210 W. Pickard RD, Mt. Pleasant MI 48858","09/17/2022","Active",,
"AU-ER-002124","Adult-Use Entity Registration - License","Pleasure Greens LLC",,"10/27/2023","Active - Main Prequalified",,
"AU-P-000227","Marihuana Processor - License","317 Extracts","81 Enterprise DR Suite C, Vassar MI 48768","10/27/2022","Active",,
"AU-ER-002293","Adult-Use Entity Registration - License","Chillary, LLC",,"12/31/2099","Active - Main Prequalified",,
"AU-ER-002340","Adult-Use Entity Registration - License","Green House Bud LLC",,"10/27/2023","Active - Main Prequalified",,
"AU-ER-002291","Adult-Use Entity Registration - License","Bloom Holding LLC",,"10/27/2023","Active - Main Prequalified",,
"AU-ER-002274","Adult-Use Entity Registration - License","Maxquality, LLC",,"10/27/2023","Active - Main Prequalified",,
"AU-G-C-000602","Class C Marihuana Grower - License","2449 Two Mile, LLC","2449 2 Mile RD, Bay City MI 48706","10/27/2022","Active",,
"AU-ER-002288","Adult-Use Entity Registration - License","FIVE NINE INVESTMENTS, LLC",,"10/27/2023","Active - Main Prequalified",,
"AU-ER-002255","Adult-Use Entity Registration - License","3300 Miller Road LLC",,"12/31/2099","Active - Main Prequalified",,
"AU-ER-002286","Adult-Use Entity Registration - License","Grow Healthy LLC",,"10/27/2023","Active - Main Prequalified",,
"AU-MEO-000138","Marihuana Event Organizer - License","j'adore Detroit","413 N Harvey ST, Plymouth MI 48170","10/27/2022","Active",,
"AU-ER-002216","Adult-Use Entity Registration - License","NMG MI 2, Inc.",,"10/26/2023","Active - Main Prequalified",,
"AU-ER-001912","Adult-Use Entity Registration - License","How Smooth It Is, Inc",,"12/31/2099","Active - Main Prequalified",,
"AU-ER-001937","Adult-Use Entity Registration - License","STW IV HERBS LLC",,"10/26/2023","Active - Main Prequalified",,
"AU-ER-001794","Adult-Use Entity Registration - License","LeTap Company LLC",,"10/26/2023","Active - Main Prequalified",,
"AU-G-C-000595","Class C Marihuana Grower - License","KAI Cannabis","1201 E. Beecher ST, Adrian MI 49221","02/10/2023","Active",,
"AU-ER-002049","Adult-Use Entity Registration - License","JBRM INVESTMENT GROUP, LLC",,"10/25/2023","Active - Main Prequalified",,
"AU-G-C-000625","Class C Marihuana Grower - License","Emerald Mountain Labs, LLC","21445 Hoover RD Suite 316, Warren MI 48089","10/26/2022","Active",,
"AU-SP-000223","Sole Proprietor Registration - License","Day Titcombe",,"10/26/2023","Active - Main Prequalified",,
"AU-ER-002249","Adult-Use Entity Registration - License","222 Companies, LLC",,"10/26/2023","Active - Main Prequalified",,
"AU-ER-002270","Adult-Use Entity Registration - License","Major Buds, LLC",,"10/26/2023","Active - Main Prequalified",,
"AU-ER-002278","Adult-Use Entity Registration - License","Spooky Trees LLC",,"10/26/2023","Active - Main Prequalified",,
"AU-ER-002259","Adult-Use Entity Registration - License","Voltano LLC",,"12/31/2099","Active - Main Prequalified",,
"AU-ER-002284","Adult-Use Entity Registration - License","WILDFIRE INVESTMENTS, LLC",,"10/25/2023","Active - Main Prequalified",,
"AU-G-C-000584","Class C Marihuana Grower - License","CLC94, LLC","15403 SHARON RD Suite A,B,C, CHESANING MI 48616","10/22/2022","Active",,
"AU-R-000554","Marihuana Retailer - License","Torch Cannabis Co","7957 State ST, Central Lake MI 49622","10/25/2022","Active","Home Delivery - Approved",
"AU-G-B-000170","Class B Marihuana Grower - License","Holy Smokes Farms","2150 Apollo Drive Suite B, Lansing MI 48906","10/25/2022","Active",,
"AU-G-C-000577","Class C Marihuana Grower - License","CLC94, LLC","343 S. MULBERRY ST, MARSHALL MI 49068","10/22/2022","Active",,
"AU-G-C-000609","Class C Marihuana Grower - License","Pegasus Green LLC","4100 Ann Arbor RD, Jackson MI 49202","08/17/2022","Active",,
"AU-G-C-000576","Class C Marihuana Grower - License","CLC94, LLC","343 S. MULBERRY ST, MARSHALL MI 49068","10/22/2022","Active",,
"AU-G-C-000585","Class C Marihuana Grower - License","CLC94, LLC","15403 SHARON RD Suite A,B,C, CHESANING MI 48616","10/22/2022","Active",,
"AU-R-000565","Marihuana Retailer - License","Lume Cannabis Co.","1116 E. State ST, Cheboygan MI 49721","11/27/2022","Active",,
"AU-G-C-000626","Class C Marihuana Grower - License","Lemonati Family Farms","826 E Kalamazoo ST, Lansing MI 48912","10/22/2022","Active",,
"AU-G-C-000608","Class C Marihuana Grower - License","Holistic Industries","29600 Stephenson HWY Suite 3, Madison Heights MI 48071","11/22/2022","Active",,
"AU-G-C-000607","Class C Marihuana Grower - License","Holistic Industries","29600 Stephenson HWY Suite 3, Madison Heights MI 48071","11/22/2022","Active",,
"AU-G-C-000606","Class C Marihuana Grower - License","Holistic Industries","29600 Stephenson HWY Suite 3, Madison Heights MI 48071","11/22/2022","Active",,
"AU-P-000209","Marihuana Processor - License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/23/2022","Active",,
"AU-G-C-000604","Class C Marihuana Grower - License","Holistic Industries","29600 Stephenson HWY Suite 3, Madison Heights MI 48071","11/22/2022","Active",,
"AU-R-000559","Marihuana Retailer - License","Great Lakes Natural Remedies","3465 Sheridan AVE, Saginaw MI 48601","02/12/2023","Active","Home Delivery - Approved",
"AU-G-C-000611","Class C Marihuana Grower - License","SUSCO, LLC","12504 Stephens RD, Warren MI 48089","10/21/2022","Active",,
"AU-G-B-000165","Class B Marihuana Grower - License","Michigan Green Leaf, LLC","42600 Executive DR, Harrison Twp. MI 48045","10/21/2022","Active",,
"AU-P-000215","Marihuana Processor - License","Wheelhouse Labs LLC","19832 E N Caribou Lake RD, DeTour Twp MI 49725","10/21/2022","Active",,
"AU-P-000213","Marihuana Processor - License","Wanda Products LLC","1369 Cripps RD, Luzerne MI 48636","10/20/2022","Active",,
"AU-R-000571","Marihuana Retailer - License","White Flower Cannabis Co.","39530 W. Red Arrow Highway HWY, Paw Paw MI 49079","07/29/2022","Active","Home Delivery - Approved.",
"AU-G-B-000174","Class B Marihuana Grower - License","Vasmed LLC","6838 Sheridan RD, Vassar Twp MI 48768","10/20/2022","Active",,
"AU-R-000551","Marihuana Retailer - License","Elite Cannabis","3389 S Huron RD Suite 3, Bay City MI 48706","10/20/2022","Active",,
"AU-MEO-000139","Marihuana Event Organizer - License","Michigan Cannabis Association LLC","2930 E JEFFERSON AVE, DETROIT MI 48207","10/20/2022","Active",,
"AU-G-B-000173","Class B Marihuana Grower - License","Lake State Canna Company","1125 case ST, Lansing MI 48906","10/19/2022","Active",,
"AU-G-A-000115","Class A Marihuana Grower - License","Epic Roots, LLC","2103 Riggs, Warren MI 48091","10/19/2022","License Void",,
"AU-G-B-000161","Class B Marihuana Grower - License","Stone Depot Exceptional Cannabis","3435 East Michigan AVE, Jackson MI 49202","01/26/2023","Active",,
"AU-G-EX-000218","Excess Marihuana Grower - License","FLURESH LLC","1213 PHILLIPS AVE SW, Grand Rapids MI 49507","04/20/2023","Active",,
"AU-P-000222","Marihuana Processor - License","Society C","4601 Liberty DR S Suite 710, Lake Orion MI 48360","10/18/2022","Active",,
"AU-P-000217","Marihuana Processor - License","The Rosin Lab","207 Elsie ST, Kalkaska MI 49646","10/18/2022","Active",,
